,post_title,summary_post_content
266,มีใครที่ 10-20 ปีที่แล้วตัดสินใจไม่รับราชการ แล้วตอนนี้รุ้สึกว่าคิดถูกอย่างแรง หรือ คิดผิดอย่างแรง แชร์กันครับ,พ่อแม่เข้าโรงพยาบาลบ่อยเบิกไม่ได้ 10-20 ประสบความสำเร็จในสายงานเอกชน อย่างที่งานราชการให้ไม่ได้ โรคภัยไข้เจ็บเริ่มมาเยือน เงินเก็บอาจไม่พอใช้หลังเกษียร ปีผ่านไป ธุรกิจส่วนตัว มีเวลามากมาย คิดผิดอย่างแรง อายุเริ่มเยอะ เอกชนเริ่มกดดัน แชร์กันครับ
267,หลังจากที่เรียนจบ กว่าจะเจองานที่รู้สึกว่าใช่ ผ่านอะไรกันมาบ้างหรอคะ,ไม่รู้ว่าลาออกมาแล้วจะได้งานที่ต้องการไหม สังคมในที่ทำงานดีมากค่ะรู้สึกเหมือนครอบครัว ขออนุญาตเล่าเรื่องของตัวเองก่อนนะคะ รู้สึกว่ามันไม่ใช่ทางสำหรับตัวเอง ปล1.ที่ทำงานจะหมดสัญญาประมาณต้นปี แล้วมันก็เป็นเรื่องยากและแปลกใหม่สำหรับโลกการทำงานของหนูมาก กว่าจะมาเจอสิ่งที่ตัวเองอยากทำจริงๆ ไม่รู้จะตัดสินใจยังไง แต่ว่าได้งานทำเลยหลังจากเรียนจบ ผิดพลาดอย่างไรชี้แนะได้นะคะ ช่วงแรกๆก็โอเคนะคะ แต่พอระยะหลังๆมารู้สึกไม่อยากไปต่อ ทำให้ตัดสินใจลำบาก เลยอยากอ่านประสบการณ์ของคนที่ผ่านมาก่อน คิดและตัดสินใจเลือกงานยังไง ซึ่งโดยปกติแล้วหมดสัญญาเขาก็จะต่อให้เลย จบมาเขาเลยรับทำงานต่อเลย ปล2. งานที่ทำ ไม่รู้ต้องคิดยังไง พอดีว่าพึ่งเรียนจบมาได้ประมาณ จากสถาบันที่ไม่ได้มีชื่อเสียงอะไร เป็นงานที่ได้ไปฝึกงานมาค่ะ ว่าช่วงที่จบมาใหม่ๆ แต่ด้วยเนื้องานแล้วใจมันไม่อยากไปจริงๆค่ะ พึ่งตั้งกระทู้ครั้งแรก 1 ปีกว่า น่าจะกำลังมีไฟ เลยคิดที่อยากจะลาออกมากๆ แต่ด้วยสถานการณ์ covid -19 ตอนนี้ สับสนไปหมดเลยค่ะ 64 ไม่ตรงกับที่เรียนมาเท่าไหร่ด้วย
268,เรียนอะไรดี จบมามีงานทำ เงินเดือนสูง,อาจจะตอบขอบคุณไม่หมดแต่หนูขอบคุณพี่ๆทุกคนที่มาให้คำแนะนำกับหนู ตอนนี้สับสนมากว่าจะเรียนอะไรดีที่เหมาะกับตัวเอง ไม่รู้จะเรียนอะไรดีแต่ความต้องการคือตามหัวข้อกระทู้เลยค่ะ เราเรียนสายวิทย์คณิตค่ะ แต่เราอยู่บ้านนอกอะค่ะเกรดมันก็จะได้ง่ายหน่อยก็คือจริงๆเราไม่ได้เก่งอะไรมากนั่นแหละค่ะ ปล.หนูอ่านทุกคอมเม้นนะคะ แล้วอีกอย่างสายไอทีเรา/ม่เก่งเลย เราชอบพวกคณิตกับเคมีอยู่ค่ะ เรียนสนุกอยู่ค่ะ เราไม่ค่อยชอบทำงานที่โจ่งแจ้งเท่าไหร่ พยายามอ่านหนังสือไปสอบอยู่ค่ะ เราเป็นคนที่มีความพยายามสุงค่ะ ขึ้นไปอะค่ะ) เกรดพอใช้ได้ ขอบคุณค่ะ ตอนนี้เราอยู่ ม.6 (ในที่นี้สูงของเราหมายถึงประมาณ ฟิสิกส์พอไปได้ ภาษานี่เราค่อนข้างอ่อนเลยค่ะ แต่ถ้าในสถานการณ์ที่ต้องพูดเราคิดว่าเราพูดได้ดีอยู่นะคะ ใจเราค่อนข้างสู้อยู่นะคะ 16:26 ขอท้าวความก่อนนะคะ เครียดมาก เงินเดือนสูง 2.5 หมื่น 3.9 อัพ พูดน้อยด้วยค่ะ แต่ถ้าเลี่ยงได้เราก็ไม่อยากพูดเลยค่ะ แต่สมองมันไม่ไปด้วย ใครเห็นช่วยแนะนำเราทีนะคะ แก้ไขข้อความเมื่อ 27 กันยายน เวลา น.
269,ลาออกที่ระยอง เริ่มต้นที่ปูซาน และอยู่อย่างเป็นทางการที่โซล,ร้อนมากกกกกกกกกกกกกกกกกกกก แต่เพิ่งรู้ว่าคนเกาหลีกลัวกระเทยมาก แต่ดันมาจะแต่งงานกับคนเกาหลีซะงั้น เราก็มานั่งแก่วอยู่กับเจ้าตู้นี้ในโกดังเก็บของ ทำมือถือของเค้าแตก ของเกาหลีที่ทำเจ้าตัวนี้ส่งมา….. ก็เห็นมันนั่งดูดหน้าตู้เลย เพราะใจก็กลัวเหงื่อเค้าจะไปหยดลงตู้ ถึงเชคแบบมาดีเราก็ไม่รู้ว่าเค้าทำของให้เราครบจริงไหม กระแตกกับแง่งตู้ ให้มือถือเค้ามาเครื่องนึง รอบหน้าจะไม่ซื้อแล้วเจ้านี้ ออกมาดูหน้าโกดัง กูไปทำอะไรให้บริษัทวะเนี่ย จริงๆเพื่อนๆที่ไซต์ก็บอกว่าเห้ย เจ้าตู้ ไอ้ช่วงทำ ร้อนก็ร้อน ให้เครื่องส่วนตัวเค้ามายืม โทรไปบ่นความรันทดใจให้ คุยกับอีตานี่หลายรอบ แต่ตอนทำงาน ส่งคนมาทำงานด้วย ตกดึกจะทำงานก็มีแมลงเม่ามาก่อกวนอีก FATที่เกาหลี เดี่ยวงานกูจะพังอีก ต้องมาใช้มือถือส่วนตัว หลังจากมือถือเราพัง แล้วให้เราไปซื้อเครื่องใหม่ แตกสองเครื่องเลย!!!!!!!!!!!!!!!!! เครื่องส่วนตัวของเค้าด้วยแล้วไงกรู ที่มาตั้งกระทู้เพราะว่าเกิดจากเพื่อนๆเชียร์มาค่ะ พัดตอนแรกเอามาพัดให้ตัวเอง รีบๆทำงานให้จบ มันให้เค้ายืมมือถือ พาเว็นเดอร์ไปเที่ยวหน่อยดิ ตอนพาไปเที่ยวมิโมซ่า และเราเองก็ไม่มีความเป็นติ่งเกาหลีเลยสักนิด ทำ เกาหลี แต่ว่าเริ่มมาได้ใช้ชีวิตทำ กับตู้ เส้นทางสู่เกาหลี ติดตั้งตู้ได้ เราก็บ่นให้คนรอบข้างที่ทำงานตลอดว่า โหยอีตานี่มันแก่กว่าเรา อีตานี่มันก็เครียด............. ไปๆมาๆก็พัดให้ตานี่ด้วย เดี่ยวพาไปเที่ยวพัทยา ไอ้เราก็โทรบอกแฟนว่า หลายๆคนก็บอกว่าลองมาเล่าในพันทิพย์ดูเผื่อคนอื่นจะชอบ ด้วยกันตอนต้นปี แต่ตัวที่ก่อเรื่องนี้เป็นชุดระบบควบคุมไฟฟ้า เมเนเจอร์ที่แผนกฟัง แต่รอบนี้เพิ่งเจอตัวเป็นๆ จะได้ทำงานได้ แถมเหงื่อแตก คุยกันคุยไม่ค่อยรู้เรื่องหรอก ส่งเมจเซจเอา มือถือร่วง เดี่ยวมันบ่น คือนึกถึงจิตใจเราเวลาไปทำงานต่างประเทศ กลับมาก็เริ่มคุยได้กันเหมือนเพื่อน คือไม่ได้ดั่งใจซักกะอย่างเลย มันร้อนมาก.................. คือในใจโกรธ ร้อน คิดอยู่ในใจ ของทุกอย่างที่มาไซต์มันเลยเละเทะหมดเลย เกลียดบริษัทมัน เมื่อต้นปีเราย้ายมาอยู่ไซต์ ดูดบุหรี่อีกละ ข้าวปลาตอนเช้าก็ไม่กิน ไม่ใช่ไม่กินหรอก ไว้นัดงานวันพรุ่งนี้ ก็ดูดบุหรี่วันละ นั่งๆอยู่ก็ต้องหันไปมองตะขาบ นัดงานกันไม่ได้ ดูสิ แฮปปี้ไหมล่ะ เพื่อนๆต่างถามว่าเรื่องราวมันเกิดขึ้นได้ยังไง คือการไปเทสของก่อนส่งแบบง่ายๆ) PLC 300i/o ตอนวีดีโอคุยนึกว่ารุ่นเดียวกัน ในโกดัง PLC คุยกันก็คุยกันไม่ค่อยรู้เรื่อง เทสทือ เทสทิดึ i/o PLC เค้าซื้อไม่เป็น เราก็ซื้อมาเผื่อ PLC คุยกันก็ไม่ค่อยรู้เรื่อง คุยกันไม่รู้เรื่องอีกเหมือนเดิม เค้าพาเวนเดอร์ไปเที่ยวนะ อยู่ในโกดังด้วยกันมา กรรม กรรม กรรม เวรของกรรมจริงๆ การที่บริษัทเราเดินเกมส์ผิด ที่เราดูแลโดยตรงมีหลายตัว ไฟฟ้าก็ไม่มี ไฟฟ้า.... ทำไมไม่ให้เราไปเชคของก่อนที่มันจะส่งมา test test เชค test ไอ้เราก็สงสาร แล้วตอนกลางวันไปกินข้าวกลางวันด้วยกัน พังๆๆๆๆๆ ไปด้วยกันไหม? พอบอกว่าจะได้เที่ยว ปกติเราเข้ามาอ่านกระทู้อย่างเดียว หรือว่ามาตั้งกระทู้อะไรเลย ช่วงนี้กำลังเดินสายแจกการ์ดแต่งงานได้สักพัก จริงๆแล้วเราพิมพ์มายาวมาก แต่มือดันไปกดปิด ซะงั้น ขี้เกียดพิมพ์ละ เมื่อปี และเปลือง (FAT ตลอดว่าเห้ย เกลียดๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ ฝุ่นเยอะมาก แล้วก็เขียนเมลล์ไปโวยวาย ได้เจ้าตัว จริงก็เมลล์คุย ปีเลยหรอเนี่ย ฝุ่นก็เยอะ ให้ลูกน้องไปลากไฟ เคเบิลนึงมาต่อ ตกดึก แมลงเม่าเพียบ เหมือนมาไล่ บางวันก็มีตะขาบเลื้อยมา ไรวะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะะ พลากๆ ตอนเช้า บอกเปลืองหวะ สิ ค่าโทรศัพท์ตัวเองคุยอีก โรยด้วยกลีบกุหลาบมั้ยล่ะเนี่ย แต่แฟนไม่ไป....... รีบเลยยยยยยยยยยยย วันนี้ออกมาได้ละ ก็เป็นเรื่องปกติแหละ
270,ผมเห็นคนบางคนเขาเข้าสังคมเก๊งเก่ง เจอกัน5นาทีคุยกันยังกะรู้จักกันมา5ปี อะไรแบบเนี้ย เขาทำได้ยังไง,"ผมว่าคนทุกคนชอบพูดเรื่องตัวเองมากกว่าฟังแต่เรื่องคนอื่น ผมก็แบบก็ไม่รู้จะคุยอะไร ผมรู้จักคนแบบนี้ก็4-5คน ผมสังเกตนะ ผมสังเกตนะ ที่ผมสังเกต ตัวผมเองก็เข้าใจหมดนะว่าต้องทำยังไง ผมจะเว้นระยะห่างก่อนเลยนะ เรียกผมว่า""เพื่อน"" แต่ผมสงสัยว่าพวกนี้มันทำเป็นธรรมชาติขนาดนั้นได้ยังไง พี่ผมเอง ซึ่งก็คือตัวผมนั่นแหละ(รู้ตัวนะแต่อดที่จะขัดคนที่ความคิดไม่เข้าท่าไม่ได้) รุ่นน้องผมเป็นผู้หญิง ผมก็ไม่รู้ว่าทำได้ไงนะ ผิดกับผม พูดตรงๆผมสอบตกตรงนี้ ผมไม่เชิงอึดอัดหรอก ผมรู้สึกเฮ้ย ผมก็ไม่ได้ใช่พวกเก็บตัว คุยกันเหมือนรู้จักกันมานานนม เจอใครก็แบบเหมือนคุยถูกคอทุกคน สังเกตมั้ยคนที่ชอบพูดขัดคนคนอื่น เขาจะฟังเรื่องของคนอื่น อย่างเรื่องระยะห่าง ใครก็มาคุย ว่าทำไมเขาถึงมีแต่คนอยากคุย แค่เข้ามาคุยก็สนิทกับเขาหมด จะคุยอะไรล่ะ แบบนี้คุยทั้งคืนก็ได้ ยังไม่ใช่เพื่อน(ผมรู้สึกไม่ชอบ) แล้วเสริมเรื่องตัวเองไปบ้าง -เขาเหมือนไม่มีกำแพง แม้จะไม่รู้จักกัน -รู้จักคน รู้จักการพูด เหมือนง่าย ปล.บุคลิคผมน่าจะเหมือนบอสฮอร์โมนน่ะ แย้งคนอื่น เพื่อนก็จะน้อยตาม หรือสร้างระยะห่างกับใครเลย ไม่ว่าเจอใคร เขาจะชมคนเป็นหลัก -ชอบไปทักทายคนนู้นคนนี้ก่อน การชมคน แต่ทำไมมันทำไม่ได้ก็ไม่รู้ แต่ชมคนทุกคน บางทีมันก็ชมไม่ไหวนะ ถ้าไม่ใช่เพื่อนสมัยเรียน แต่แบบที่เพิ่งเจอแป๊บๆ ถ้ามาแบบเจอครั้ง2ครั้ง แบบเขาไม่มีระยะห่าง ทำไมคนเหล่านี้เขาทำเป็นธรรมชาติมาก"
271,ข้าราชการประเทศไทย น่าอิจฉามาก,บัตรเครดิตก็โทรมาทวงสุดท้ายบัญชีดำเนื่องจากไม่มีเงินจ่าย มาวันนี้เรารู้เลยว่าเราควรเป็นข้าราชการเพราะมันดีมาก อะไรเกิดขึ้นกับประเทศไทย เราโดนลดเงินเดือน และเราโดนให้ออกโดยที่เราไม่ได้เงินชดเชยอะไรเลย สุดท้ายมาประมูลร้านในโรงเรียน ตอนนี้คือแย่มาก ได้เงินเต็ม สามารถกู้เงินได้เพื่อ เราไม่ได้จะกู้เงินหรอกนะ เราทำงาน เป็นแสน คือเกิดอะไรขึ้น!!! ดีจริง
272,ในสถานการณ์เช่นนี้ เรื่องอะไรที่ยังพอทำให้ยิ้มได้และมีความสุขอยู่บ้างคะ ?,ตอนนี้รับหน้าที่เป็นเสาหลักของครอบครัวเลยแต่ก็รู้สึกแฮปปี้ที่ยังพอจะช่วยเหลือครอบครัวได้ กลับบ้านมาเจอหน้าพ่อแม่และน้องสาว อยากทำอะไรหลายๆอย่างที่ฝันเอาไว้ให้สำเร็จซักที และเห็นว่าพวกเค้ายังแข็งแรงดี ทำงานเสริมเล็กๆน้อยๆตามกำลัง ภาวนาให้สถานการณ์มันดีขึ้น และมีกำลังใจในการทำงานในทุกวันค่ะ ของเราคงเป็นการที่ได้อยู่กับครอบครัวแบบพร้อมหน้า พร้อมตากันค่ะ เฮ้อ
273,ไม่อยากชงกาแฟให้หัวหน้า อยากกินทำไมไม่ชงเอง !!,หัวหน้าเราไม่ชอบชงกาแฟเอง ยิ่งกว่าคือซื้อข้าวซื้อน้ำให้กินกลางวัน ล้างจานล้างแก้ว แถมมาบอกว่าให้เราชงให้เหมือนมันเป็นหน้าที่ จะกินทำไมไม่ชงเองหาเอง แกะถุงแกงให้ เราเคยไม่ล้างแต่มดก็ขึ้น เรื่องข้าวเราไม่ติดนะเพราะเราต้องซื้อของเราอยู่แล้ว ที่ไม่ชอบคือพูดเหมือนว่ามันคือหน้าที่ เราทำงานในหน่วยงานราชการ งงป่ะ แค่จะมาบ่น แขนขาครบ ทนไม่ได้จริงๆ มันสกปรก !! ทำทุกอย่างจริงๆ เหลืออย่างเดียวเคี้ยวข้าวให้ แต่กาแฟเราไม่อยากชง มันคือการดูแล
274,หลังเกษียณเพื่อนๆอยากใช้ชีวิตแบบไหนคะ??,
275,แปลกไหมที่บ้างคนตอนอายุน้อยๆ หรือพึ่งเริ่มทำงานอยากมีรถมากกว่าอยากมีบ้าน เลยอยากรู้ความคิดว่าเพราะอะไร,แต่ด้วยอายุที่มากขึ้นทำให้การผ่อนบ้านแพงขึ้น แต่หลายคนเลือกที่จะซื้อรถก่อนในช่วงเริ่มทำงาน เพราะอายุผมตอนนี้ก็กำลังอยู่ในช่วงเลข ผมก็เห็นคนไม่มีบ้านโอดครวญเริ่มอยากมีบ้านกันแล้ว พอเริ่มทำงานผมเลือกซื้อบ้านก่อน เพราะผมเองเป็นคนที่ แต่พออายุมากขึ้น มากกว่าตอนอายุเยอะๆกันหรอครับ ตรงนี้คนบ้างกลุ่มเขารู้เรื่องนี้ไหมครับ การผ่อนการอะไรถ้าบ้านราคาไม่แพงมาก หรือเป็นเพราะไม่รู้ว่ายิ่งอายุน้อยๆ แล้วพอใกล้เกษียณก็เห็นโอดครวญในการอยากมีบ้าน การผ่อนก็จะถูกลง และอย่างที่คนในสมัยก่อนเขาพูดมันก็จริงๆนะครับ 2 มันก็จะผ่อนแบบสบายๆ มันเป็นเพราะอะไรครับ
276,ทำไมคนบางคนถึงทำงานที่เดิมได้หลายปี,ทำไมเราถึงทำแบบเขาไม่ได้ที่ทำงานที่เดิมได้เป็นเวลาสิบปี เจอแต่เรื่องร้ายๆในชีวิต น้อยใจในโชคชะตาชีวิต นอนร้องไห้คนเดียวบ่อยๆ นึกถึงเราที่เปลี่ยนงานบ่อยๆ แสดงว่าเขาต้องเก่งมาก ยี่สิบปี
277,เพื่อนร่วมงานที่โคตรดี ที่แต่ละคนเคยเจอเป็นยังไงบ้างครับ,อยากรู้ว่าแล้วเพื่อนร่วมงานที่ดีที่แต่ละคนเคยเจอเป็นอย่างไรบ้าง อยากชวนแชร์ครับ ปกติจะเจอแต่เรื่องเล่าของเพื่อนร่วมงาน มันต้องมีสักคนบ้างแหละ ปสด. ผมเชื่อว่า ในการทำงาน
278,เราเเปลกใจมากเลยพ่อเราเป็นคนเก่งหาเงินได้จากธุรกิจเยอะ เเต่ทำไมถึงเล่นหุ้นจนหมดตัวหมดเงิน9ล้านบาท,ที่บริษัทล้มใหม่พ่อเรามีเงินอยู่2ล้านเป็นเงินสดเเต่ตอนนี้ไม่มีเเล้ว เลยเสียรายได้ไป4เเสนห้าต่อเดือน ได้เงินเดือนเดือนนึงได้เเสนห้า พ่อกู้ซื้อบ้าน7ล้าน1หลัง(เเต่ตอนนี้ขายไปเเล้วมาอยู่ทาวโฮมราคาประหยัดเอา) ขาดทุนหุ้นไป6ล้าน โดยที่4ปีเเรกในช่วงที่บริษัทกำไรดี พ่อได้ปันผลเดือนละ3.5เเสน รายได้รวมบริษัทอยู่ที่ปีละ40ล้าน เราเลยเเอบไปดูพอรต์หุ้น พ่อผมมีบริษัทตั้งเเต่ปี38 ขาดทุนไป9ล้านบาท ตอนนี้ทำงานบริษัทเอกชนเเห่งหนึ่ง เราเลยสงสัยว่าเกี่ยวกับหุ้นไหมที่ทำให้ชีวิตเค้าไม่ค่อยมีเงินเก็บ พ่อเราเป็นอาจารย์หุ้นในpantipด้วยช่วงปี55 เหลือเงินใช้เเค่เดือนละ5หมื่น ตอนนี้เราเลี้ยงครอบครัวเเล้ว พ่อเข้าวงการหุ้นปี45 เมื่อก่อนบ้านผมฐานะดี ล้านบาท พ่อเรามีบันทึกบัญชีหุ้นไว้ตกใจมาก เเม่เราเล่าให้ฟังว่าพ่อเราถูกหุ้นส่วนโกงตอนปี51 เอาตรงผมไม่เคยคิดเลยว่าทุกอย่างจะลงเอยเเบบนี้ เเล้ว เเล้วมาบูมช่วงปี เเบบอารมณ์เงินหาง่ายมาก ช่วงที่พ่อเป็นอาจารย์ก็ขาดทุนหนักนะ ผมอายุ26 เงินเดือน3หมื่น ทั้งที่พ่อเราเก่งทำธุรกิจเก่ง ตอนนั้นพ่อใช้เงินเยอะมาก ปี45-64 เเต่เราก็งงนะปี เเต่ขอถามหน่อยทำไมพ่อเราถึงกลับมาหาเงินได้ไม่เท่าปี45-49 ตอนปี เราสงสัยว่าทำไมย่าบ่นว่าเราอย่าเล่นหุ้น ถ้าไม่อยากชีวิตพังเหมือนพ่อ ช่วงปี51 55 เเเต่เรายังโชคดีเเม่ยังมีที่ดินอยู่อีก
279,เรื่องไหนที่คิดว่าเป็นเรื่องที่โชคดีที่สุดในสังคมการทำงานคะ ?,แล้วก็ในส่วนอื่นๆคือเป็นคนที่เปิดใจรับฟังฟีดแบ็กจากลูกน้องและยอมรับความผิดพลาดของตัวเองในบางเรื่อง เกรงใจเค้ามากกว่าเดิมแต่ตอนนี้ย้ายงานแล้วค่ะกลับมาอยู่ใกล้บ้านมากยิ่งขึ้น เป็นเรื่องดีๆในชีวิตเลยที่ครั้งหนึ่งเคยพูดได้เต็มปากว่ามีความสุขกับการไปทำงานมากๆถึงแม้ช่วงนั้นร่างกายจะอ่อนแอก็ตาม ของเราเป็นช่วงที่ตัวเองป่วยหนักๆแล้วกว่าจะกลับมาทำงานได้เป็นปกติ จะลุกจะนั่งหรือจะทำอะไรจะมีเพื่อนๆที่ทำงานคอยเป็นห่วงตลอด เลยแอบคิดถึงหัวหน้างานคนเก่ามากๆ ถ้าเป็นคนอื่นคงรำคาญแล้วที่มีลูกน้องป่วยๆแบบนี้ เราแฮปปี้มากๆที่เจอหัวหน้าดีดีแบบนี้ ทำให้เรารู้สึกว่าเราเข้าถึงเค้าได้และเคารพ แต่ยิ่งไปกว่านั้นคือหัวหน้างานเราอาสาไปรับไปส่ง และคอยถามไถ่อาการเราตลอดเลย ก็ต้องค่อยๆฟื้นฟูร่างกาย แต่หัวหน้าเราใจเย็นมาก
280,การส่งเงินให้พ่อแม่ทุกเดือนคือasian cultureไหม หรือมีแค่ที่ไทย,ได้คุยกับเพื่อนฝรั่ง/เอเชียที่นั่นเรื่องบริหารเงิน บอกค่ากตัญญูที่เขาเลี้ยงเรามา** ที่ไทยพ่อแม่คิดเงินด้วยหรอ ต้องตอบแทนหรอด้วยการให้เงินทุกเดือนหรอ? ตอนนี้กลับมาทำงานที่เมืองไทยแล้ว ทำกันเป็นปกติมานานแล้วหรอ? ค่ากตัญญูค่ะ ค่ากตัญญู อยากจะย้อนเวลาไปนั่งคุยด้วยสักที🥲🥲🥲 เราไม่ได้บอกว่าทุกครอบครัวต้องทำนะคะ ในสังคมเรามันเหมือนผู้ใหญ่ปลูกฝังมารุ่นสู่รุ่นว่า ก็เลยแปลกใจว่ามีแค่ที่ไทยไหม เราคิดว่าถ้าเราพูดเรื่องรัฐสวัสดิการที่บ้านเราไม่ได้มีมาก ถามว่าค่าอะไรๆ? เราก็ไม่รู้จะตอบว่าค่าอะไร ทำงานที่นั่นแปปนึง ไม่มีใครต้องส่งให้ที่บ้านสักคน พอเพื่อนเอเชียบอกไม่ได้ทำ เอเชียประเทศอื่นมีไหม แต่เพื่อนมองว่านั่นคือหน้าที่ของพ่อแม่ปกติอยู่แล้วนี่นา จีนมาเลยังไม่ส่งให้ที่บ้านเลย เราเข้าใจดีว่าหลายท่านก็ไม่ได้ทำ หรือในโลกนี้มีที่ไหนอีกไหมที่มีแบบนี้ หักส่งให้ที่บ้านรายเดือน หรือเปนแค่ที่ไทย ค่าน้ำนมอะไรแบบนี้นะคะ ใครคือคนต้นคิดไอเดียเน้ๆๆ ตั้งแต่จบม.6 นี่คือหนึ่งในหน้าที่ของลูกอะ เราอธิบายไม่ชัดเจนต้องขออภัย เป็นการตอบแทนบุญคุณที่เขาเลี้ยงมาจนโต เราอธิบายไปเหมือนกันค่ะว่า เราไปเรียนปท ในยุโรปที่เพิ่งออกbrexits ยันป.โท ทุกคนงงมาก that's จุกมากก ขนาดเพื่อนฮ่องกง ทำให้งงว่า ตอนแรกคิดว่าasian ** 6 เวลา 18:53 ตามหัวข้อเลยค่ะ parents dutyนะ culture เลยเอ๊ะว่า Edit in general ขยายความ คิดว่าเพื่อนอาจจะเข้าใจมากขึ้นน่ะค่ะ แก้ไขข้อความเมื่อ กันยายน น.
281,ขอรีวิวไลฟ์สไตล์ของคนเงินเดือนระหว่าง 100-200k หน่อยครับ,สถานที่เที่ยวหรือของฟุ่มเฟือยอะไรที่ท่านเสียเงินไปกับมันเยอะครับ บ้านหรือคอนโดราคาประมาณไหน อาหารการกินหรูขนาดไหน เสื้อผ้าของใช้แบรนด์หรือเปล่า อยากรู้ว่าคนระดับนี้ซึ่งมีเพียง 1-2% ไลฟ์สไตล์เป็นไงครับ เอาเงินออมไปลงทุนอะไรบ้าง ของคนในประเทศ ใช้รถอะไร ขอบคุณครับ
282,คนที่ทำงานประจำมานานๆ นี่ทนมาได้ยังไงคะ,ท่านผ่านมรสุมการเมือง ส่วนตัวเป็นคนคิดมาก หรือเงินเดือนที่ได้/ภาระมีน้ำหนักกว่าสิ่งนี้ค่ะ พึ่งเข้าตลาดการทำงานมา 3-4 ทั้งคนทั้งวิถีชีวิตประจำ 16:48 ลาออกปีละที่เลยค่ะ ไม่ไหวจริงๆ เพื่อนร่วมงาน หัวหน้า การกลั่นแกล้ง ความไม่เป็นธรรม ความบ้าบอทั้งหลายมาได้อย่างไรคะ กลับไปนึกถึงตลอดเลยค่ะ แก้ไขข้อความเมื่อ 9 พฤษภาคม เวลา น.
283,คนที่มีชีวิตสมบูรณ์พร้อมไม่มีความทุกข์เลยมีอยู่จริงหรือเปล่า,เราก็ค่อนข้างสนิทกับเพื่อนคนนี้และก็ไม่เห็นว่าเพื่อนคนนี้จะมีชีวิตที่มีความทุกข์ในแง่ไหนเลย เห็นเพื่อนๆหลายๆคนดูมีชีวิตที่ดีและประสบความสำเร็จกันแล้วสงสัยจังเลยค่ะว่าชีวิตเขาดีอย่างนั้นจริงๆหรือเปล่าหรือยังไงๆทุกคนต้องมีด้านที่เป็นทุกข์บ้างคะ เรารู้สึกเหมือนชีวิตเราโชคร้ายและลำบากมาตั้งแต่เกิดเมื่อเทียบกับเพื่อนๆหลายๆคน ยกตัวอย่างเพื่อนคนนึง แต่พอเห็นแบบนี้ก็สงสัยว่าหรือจริงๆมนุษย์ที่ชีวิตสมบูรณ์พร้อมทุกอย่างอาจจะมีอยู่จริงก็ได้นะคะ ไม่ใช่ว่าเราอยากให้เพื่อนมีความทุกข์นะคะ เพราะทุกๆคนก็มีความทุกข์เป็นของตัวเอง มีพ่อแม่ที่น่ารักและมีความพร้อมที่จะเลี้ยงดูลูก แล้วทั้งครอบครัวก็มีสุขภาพแข็งแรงสมบูรณ์ ชีวิตดูสมบูรณ์พร้อมไปทุกๆอย่าง มีคนบอกว่าเราไม่ควรเอาตัวเราไปเปรียบเทียบกับใคร มีหน้าที่การงานดีและรักครอบครัว แต่ถามว่าอิจฉาไหม ลูกก็หน้าตาน่ารัก ถ้าถามว่ารู้แล้วจะได้อะไร หรืออาจจะอิจฉามากกว่าเดิมด้วย เกิดมาในครอบครัวที่ดี ต่อมาก็ได้ไปเรียนต่อต่างประเทศ เรายอมรับว่าอิจฉา ได้เรียนหนังสือในสถาบันที่ดี กลับมาก็ได้ทำงานที่ดีๆ มีความก้าวหน้าขึ้นตามลำดับ จากนั้นก็ได้สามีที่ดี พอมีลูก แต่ก็อยากรู้จริงๆค่ะ ติดใจอยู่ตลอดเลย
